CD0,CD1,CD2,CD3,CD4,CD5,CD6,CD7,CD8,CD9
CD0,0,1,1,1,1,1,1,1,1,1
CD1,1,0,1,1,1,1,1,1,1,1
CD2,1,1,0,1,1,1,1,1,1,1
CD3,1,1,1,0,1,1,1,1,1,1
CD4,1,1,1,1,0,1,1,1,1,1
CD5,1,1,1,1,1,0,1,1,1,1
CD6,1,1,1,1,1,1,0,1,1,1
CD7,1,1,1,1,1,1,1,0,1,1
CD8,1,1,1,1,1,1,1,1,0,1
CD9,1,1,1,1,1,1,1,1,1,0
