CD0,CD1,CD2,CD3,CD4,CD5,CD6,CD7,CD8,CD9
CD0,0,0,1,0,1,0,0,0,0,0
CD1,0,0,1,0,1,0,0,0,0,0
CD2,1,1,0,1,1,1,1,1,1,1
CD3,0,0,1,0,1,0,0,0,0,0
CD4,1,1,1,1,0,1,1,1,1,1
CD5,0,0,1,0,1,0,0,0,0,0
CD6,0,0,1,0,1,0,0,0,0,0
CD7,0,0,0,0,1,0,0,0,0,0
CD8,0,0,1,0,1,0,0,0,0,0
CD9,0,0,1,0,1,0,0,0,0,0
