CD1,CD2,CD3,CD4,CD5,CD6,CD7,CD8,CD9,CD10
CD1,0,355,243,198,768,591,517,589,336,154
CD2,355,0,188,200,672,620,781,243,690,427
CD3,243,188,0,215,574,463,595,425,561,258
CD4,198,200,215,0,788,670,700,406,519,326
CD5,768,672,574,788,0,261,720,784,977,670
CD6,591,620,463,670,261,0,459,802,741,463
CD7,517,781,595,700,720,459,0,1020,421,375
CD8,589,243,425,406,784,802,1020,0,922,670
CD9,336,690,561,519,977,741,421,922,0,327
CD10,154,427,258,326,670,463,375,670,327,0
